,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
89,Finland,5541604,7532,331.0,0.136%,4.395%,1359,60.0,389500.0,70287.0,Europe,0.07028650910458416,0.07028650910458416,Medium Test Rate
90,Zambia,18430129,7164,199.0,0.039%,2.778%,389,11.0,90307.0,4900.0,Africa,0.00489996570289877,0.00489996570289877,Lower Test Rate
91,Luxembourg,626952,7073,119.0,1.128%,1.682%,11282,190.0,623994.0,995282.0,Europe,0.9952819354591739,0.9952819354591739,High Test Rate
92,Mauritania,4660728,6444,157.0,0.138%,2.436%,1383,34.0,57387.0,12313.0,Africa,0.01231288330921693,0.01231288330921693,Lower Test Rate
93,Paraguay,7141091,6375,66.0,0.089%,1.035%,893,9.0,135277.0,18943.0,Americas,0.018943463960898972,0.018943463960898972,Lower Test Rate
94,Albania,2877470,6016,188.0,0.209%,3.125%,2091,65.0,38997.0,13553.0,Europe,0.013552530521604048,0.013552530521604048,Lower Test Rate
95,Lebanon,6822220,5672,70.0,0.083%,1.234%,831,10.0,345268.0,50609.0,MiddleEast,0.050609332446036624,0.050609332446036624,Medium Test Rate
96,Croatia,4102577,5404,155.0,0.132%,2.868%,1317,38.0,125317.0,30546.0,Europe,0.030545922721255444,0.030545922721255444,Medium Test Rate
97,Djibouti,989387,5330,59.0,0.539%,1.107%,5387,60.0,59909.0,60552.0,MiddleEast,0.060551634496915765,0.060551634496915765,Medium Test Rate
98,Greece,10417673,5123,210.0,0.049%,4.099%,492,20.0,619393.0,59456.0,Europe,0.05945598407629036,0.05945598407629036,Medium Test Rate
99,Libya,6880353,4879,107.0,0.071%,2.193%,709,16.0,59699.0,8677.0,MiddleEast,0.008676735045425722,0.008676735045425722,Lower Test Rate
100,Equatorial Guinea,1407001,4821,83.0,0.343%,1.722%,3426,59.0,44356.0,31525.0,Africa,0.03152520858194131,0.03152520858194131,Medium Test Rate
101,Maldives,541448,4680,19.0,0.864%,0.406%,8643,35.0,85587.0,158071.0,South-EastAsia,0.15807058110843517,0.15807058110843517,High Test Rate
102,CAR,4837752,4620,59.0,0.095%,1.277%,955,12.0,29589.0,6116.0,Africa,0.006116270532263745,0.006116270532263745,Lower Test Rate
103,Hungary,9657785,4597,600.0,0.048%,13.052%,476,62.0,352546.0,36504.0,Europe,0.0365038153158307,0.0365038153158307,Medium Test Rate
104,Malawi,19174839,4491,137.0,0.023%,3.051%,234,7.0,33466.0,1745.0,Africa,0.0017453080049329229,0.0017453080049329229,Lower Test Rate
105,Zimbabwe,14883803,4339,84.0,0.029%,1.936%,292,6.0,140421.0,9434.0,Africa,0.009434483915166037,0.009434483915166037,Lower Test Rate
106,Nicaragua,6632263,3902,123.0,0.059%,3.152%,588,19.0,,,Americas,,,
107,Hong Kong,7503041,3850,46.0,0.051%,1.195%,513,6.0,692430.0,92287.0,WesternPacific,0.09228658086767752,0.09228658086767752,Medium Test Rate
108,Congo,5530506,3546,58.0,0.064%,1.636%,641,10.0,,,Africa,,,
109,Montenegro,628074,3480,60.0,0.554%,1.724%,5541,96.0,38427.0,61182.0,Europe,0.061182281068791255,0.061182281068791255,Medium Test Rate
110,Thailand,69817894,3330,58.0,0.005%,1.742%,48,0.8,749213.0,10731.0,South-EastAsia,0.010730959601846484,0.010730959601846484,Lower Test Rate
111,Somalia,15933012,3227,93.0,0.020%,2.882%,203,6.0,,,MiddleEast,,,
112,Mayotte,273419,3042,39.0,1.113%,1.282%,11126,143.0,13000.0,47546.0,Africa,0.047546073974376324,0.047546073974376324,Medium Test Rate
113,Eswatini,1161348,2968,55.0,0.256%,1.853%,2556,47.0,20784.0,17896.0,Africa,0.017896444476590997,0.017896444476590997,Lower Test Rate
114,Sri Lanka,21422362,2839,11.0,0.013%,0.387%,133,0.5,166737.0,7783.0,South-EastAsia,0.007783315397247045,0.007783315397247045,Lower Test Rate
115,Cuba,11325899,2775,88.0,0.025%,3.171%,245,8.0,285471.0,25205.0,Americas,0.02520515148510507,0.02520515148510507,Lower Test Rate
116,Cabo Verde,556581,2734,27.0,0.491%,0.988%,4912,49.0,61633.0,110735.0,Africa,0.11073500532716711,0.11073500532716711,High Test Rate
117,Namibia,2545264,2652,15.0,0.104%,0.566%,1042,6.0,29233.0,11485.0,Africa,0.01148525261033826,0.01148525261033826,Lower Test Rate
118,Mali,20302901,2552,124.0,0.013%,4.859%,126,6.0,25152.0,1239.0,Africa,0.0012388377404785652,0.0012388377404785652,Lower Test Rate
119,Slovakia,5459915,2480,29.0,0.045%,1.169%,454,5.0,272322.0,49877.0,Europe,0.0498766006430503,0.0498766006430503,Medium Test Rate
120,South Sudan,11206572,2450,47.0,0.022%,1.918%,219,4.0,12044.0,1075.0,Africa,0.0010747265086950763,0.0010747265086950763,Lower Test Rate
121,Slovenia,2078968,2223,125.0,0.107%,5.623%,1069,60.0,135702.0,65274.0,Europe,0.0652737319670144,0.0652737319670144,Medium Test Rate
122,Lithuania,2718121,2171,81.0,0.080%,3.731%,799,30.0,540784.0,198955.0,Europe,0.19895508698840117,0.19895508698840117,High Test Rate
