Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Country Test Rate,country_flag
Thailand,69817894,3330,58,0.01%,1.74%,48,0.8,749213,10731,South-EastAsia,0.01073096,Lower Test Rate
Mayotte,273419,3042,39,1.11%,1.28%,11126,143,13000,47546,Africa,0.047546074,Medium Test Rate
Eswatini,1161348,2968,55,0.26%,1.85%,2556,47,20784,17896,Africa,0.017896444,Lower Test Rate
Sri Lanka,21422362,2839,11,0.01%,0.39%,133,0.5,166737,7783,South-EastAsia,0.007783315,Lower Test Rate
Cuba,11325899,2775,88,0.03%,3.17%,245,8,285471,25205,Americas,0.025205151,Lower Test Rate
Cabo Verde,556581,2734,27,0.49%,0.99%,4912,49,61633,110735,Africa,0.110735005,High Test Rate
Namibia,2545264,2652,15,0.10%,0.57%,1042,6,29233,11485,Africa,0.011485253,Lower Test Rate
Mali,20302901,2552,124,0.01%,4.86%,126,6,25152,1239,Africa,0.001238838,Lower Test Rate
Slovakia,5459915,2480,29,0.05%,1.17%,454,5,272322,49877,Europe,0.049876601,Medium Test Rate
South Sudan,11206572,2450,47,0.02%,1.92%,219,4,12044,1075,Africa,0.001074727,Lower Test Rate
Slovenia,2078968,2223,125,0.11%,5.62%,1069,60,135702,65274,Europe,0.065273732,Medium Test Rate
Lithuania,2718121,2171,81,0.08%,3.73%,799,30,540784,198955,Europe,0.198955087,High Test Rate
Estonia,1326627,2124,63,0.16%,2.97%,1601,47,122880,92626,Europe,0.092625885,Medium Test Rate
Mozambique,31333962,2120,15,0.01%,0.71%,68,0.5,65151,2079,Africa,0.002079246,Lower Test Rate
Rwanda,12981546,2111,5,0.02%,0.24%,163,0.4,286251,22051,Africa,0.022050609,Lower Test Rate
Suriname,587154,2096,29,0.36%,1.38%,3570,49,2785,4743,Americas,0.004743219,Lower Test Rate
Guinea-Bissau,1972277,2032,27,0.10%,1.33%,1030,14,1500,761,Africa,0.000760542,Lower Test Rate
Benin,12151976,1936,38,0.02%,1.96%,159,3,93677,7709,Africa,0.007708787,Lower Test Rate
Iceland,341465,1930,10,0.57%,0.52%,5652,29,149693,438385,Europe,0.438384608,High Test Rate
